"ISIN","Company","Country"
"KYG409471060","Gongwin Biopharm Holdings Co Ltd","Taiwan"
"UA4000069603","Raiffaizen Bank AT","Ukraine"
"US87043Q1085","Sweetgreen Inc","United States of America"
"ID1000117609","Bumi Resources Minerals Tbk PT","Indonesia"
"FR0014005HJ9","Ovh Groupe SA","France"
"PHY7319E1039","RL Commercial REIT Inc","Philippines"
"INE404A01024","Aditya Birla Sun Life Amc Ltd","India"
"SE0009607252","Intervacc AB","Sweden"
"JP3944630007","FRONTEO Inc","Japan"
"DE0006578008","KHD Humboldt Wedag International AG","Germany"
"SE0002158568","Eastnine AB (publ)","Sweden"
"FI4000369657","Glaston Oyj Abp","Finland"
"US64082B1026","Nerdwallet Inc","United States of America"
"DE0006636681","va Q tec AG","Germany"
"US68622D1063","Origin Materials Inc","United States of America"
"IS0000020485","Syn hf","Iceland"
"IL0004160169","Villar International Ltd","Israel"
"IL0007310183","Arad Investment & Industrial Development Ltd","Israel"
"US00152K1016","AKA Brands Holding Corp","United States of America"
"US65345M1080","Nextdoor Holdings Inc","United States of America"
"US69360B1044","PHI Group Inc","United States of America"
"CA8968871068","Troilus Gold Corp","Canada"
"TW0001795003","Lotus Pharmaceutical Co Ltd","Taiwan"
"SE0002478776","Senzime AB (publ)","Sweden"
"KR7222800005","Simmtech Co Ltd","Korea; Republic (S. Korea)"
"KR7036540003","SFA Semicon Co Ltd","Korea; Republic (S. Korea)"
"SE0016844831","Volvo Car AB","Sweden"
"IL0011745804","Innoviz Technologies Ltd","Israel"
"US98422X1019","Xponential Fitness Inc","United States of America"
"SE0016798581","BYGGFAKTA GROUP Nordic HoldCo AB","Sweden"
"US65345N1063","NextNav Inc","United States of America"
"EE3100137985","Enefit Green AS","Estonia"
"KR7121800007","Vidente Co Ltd","Korea; Republic (S. Korea)"
"SE0004210854","Crown Energy AB","Sweden"
"SE0016787071","Truecaller AB","Sweden"
"SE0003086214","Metacon AB (publ)","Sweden"
"JP3323800007","Sun* Inc","Japan"
"US50152R1014","Kwikclick Inc","United States of America"
"INE417T01026","PB Fintech Ltd","India"
"IL0010985658","Blue Square Real Estate Ltd","Israel"
"CA75624R1082","Reconnaissance Energy (Africa) Ltd","Canada"
"SE0007578141","Minesto AB","Sweden"
"TW0001905008","Chung Hwa Pulp Corp","Taiwan"
"BRRRRPACNOR5","3R Petroleum Oleo e Gas SA","Brazil"
"US68629Y1038","Orion Office Reit Inc","United States of America"
"US04035M1027","Arhaus Inc","United States of America"
"US83425V1044","Solo Brands Inc","United States of America"
"INE864I01014","MTAR Technologies Ltd","India"
"TW0002867009","Mercuries Life Insurance Co Ltd","Taiwan"
"KW0EQ0300420","Gulf Insurance Group KSCP","Kuwait"
"DE000A0HL8N9","2G Energy AG","Germany"
"JP3399780000","Strike Co Ltd","Japan"
"US76954A1034","Rivian Automotive Inc","United States of America"
"SE0015960935","Acast AB (publ)","Sweden"
"JO1103311014","Jordan Ahli Bank PSC","Jordan"
"LU2391723694","Perimeter Solutions SA","Luxembourg"
"KYG748071019","Regina Miracle International (Holdings) Ltd","Hong Kong"
"US26916J1060","ESS Tech Inc","United States of America"
"TW0005306005","KMC Kuei Meng International Inc","Taiwan"
"CA09173B1076","Bitfarms Ltd","Canada"
"JP3915350007","Meiko Electronics Co Ltd","Japan"
"SE0007577895","Vicore Pharma Holding AB","Sweden"
"AU0000185993","Iris Energy Ltd","Australia"
"US4335371070","HireRight Holdings Corp","United States of America"
"TW0002340007","Taiwan-Asia Semiconductor Corp","Taiwan"
"US28036F1057","Edgewise Therapeutics Inc","United States of America"
"SE0015191911","Cdon AB","Sweden"
"US76010Y1038","Rent the Runway Inc","United States of America"
"US9026851066","Udemy Inc","United States of America"
"KR7289220006","GiantStep Inc","Korea; Republic (S. Korea)"
"DE0005137004","q.beyond AG","Germany"
"KYG2445L1547","Cosmopolitan International Holdings Ltd","Hong Kong"
"KYG931751005","Value Partners Group Ltd","Hong Kong"
"US74276L1052","Procept Biorobotics Corp","United States of America"
"GB0006523608","NWF Group PLC","United Kingdom"
"KR7079550000","LIG Nex1 Co Ltd","Korea; Republic (S. Korea)"
"JP3386710002","GMO Financial Gate Inc","Japan"
"US50155Q1004","Kyndryl Holdings Inc","United States of America"
"CLP8716H1116","Sociedad de Inversiones Pampa Calichera SA","Chile"
"THA458010008","Dhipaya Group Holdings PCL","Thailand"
